District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
YADGIRI,Yadgir,224659.0,20,TotalNPK,228607,1.7573299979079404,3948.0
RAICHUR,Raichur,492342.0,20,TotalNPK,497683,1.0848150269528092,5341.0
KOPPAL,Koppal,243505.0,20,TotalNPK,245298,0.7363298494897436,1793.0
VIJAYANAGARA,Vijayanagara,206115.5,20,TotalNPK,208237,1.029277274149688,2121.5
BENGALURU,Bengaluru Urban,3376.0,20,AreaUnderCereals_Paddy,3876,14.810426540284361,500.0
BENGALURU(R),Bengaluru Rural,2354.0,20,AreaUnderCereals_Paddy,2825,20.008496176720474,471.0
RAMANAGARA,Ramanagara,12128.0,20,AreaUnderCereals_Paddy,14989,23.59003957783641,2861.0
CHITRADURGA,Chitradurga,4566.0,20,AreaUnderCereals_Paddy,5396,18.1778361804643,830.0
DAVANAGERE,Davanagere,489505.0,20,AreaUnderCereals_Paddy,552441,12.857069897140988,62936.0
KOLAR,Kolar,864.0,20,AreaUnderCereals_Paddy,1117,29.28240740740741,253.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,20,AreaUnderCereals_Paddy,3551,31.61601186063751,853.0
SHIVAMOGGA,Shivamogga,384974.0,20,AreaUnderCereals_Paddy,455185,18.237855023975644,70211.0
TUMAKURU,Tumakuru,26042.0,20,AreaUnderCereals_Paddy,32689,25.524153290837877,6647.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,20,AreaUnderCereals_Paddy,131692,19.14269946531805,21159.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,20,AreaUnderCereals_Paddy,163773,23.52022807493891,31185.0
UDUPI,Udupi,138156.0,20,AreaUnderCereals_Paddy,169930,22.9986392194331,31774.0
HASSAN,Hassan,143705.0,20,AreaUnderCereals_Paddy,171130,19.084235064889878,27425.0
KODAGU,Kodagu,86303.0,20,AreaUnderCereals_Paddy,104452,21.029396428861105,18149.0
MANDYA,Mandya,246543.0,20,AreaUnderCereals_Paddy,284004,15.194509679853008,37461.0
MYSURU,Mysuru,354227.0,20,AreaUnderCereals_Paddy,414128,16.910342802779006,59901.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,20,AreaUnderCereals_Paddy,54746,19.386775994417306,8890.0
BELAGAVI,Belagavi,177552.0,20,AreaUnderCereals_Paddy,216770,22.08817698477066,39218.0
VIJAYAPURA,Vijayapura,170.0,20,AreaUnderCereals_Paddy,202,18.823529411764707,32.0
BAGALKOT,Bagalkote,85.0,20,AreaUnderCereals_Paddy,105,23.52941176470588,20.0
DHARAWAD,Dharwad,33989.0,20,AreaUnderCereals_Paddy,49303,45.05575333196034,15314.0
GADAG,Gadag,7258.0,20,AreaUnderCereals_Paddy,8350,15.045467070818408,1092.0
HAVERI,Haveri,125422.0,20,AreaUnderCereals_Paddy,154224,22.96407328857776,28802.0
UTTARA KANNADA,Uttara Kannada,152981.0,20,AreaUnderCereals_Paddy,195349,27.694942509200487,42368.0
BALLARI,Ballari,206115.5,20,AreaUnderCereals_Paddy,236112,14.553248057521149,29996.5
BIDAR,Bidar,2036.0,20,AreaUnderCereals_Paddy,3027,48.67387033398821,991.0
KALABURAGI,Kalaburagi,7888.0,20,AreaUnderCereals_Paddy,10577,34.08975659229209,2689.0
