District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
CHAMARAJANAGAR,Chamarajanagara,Maize,147886.0,156392,5.751727682133535,0.6440865927922865,0.3559134072077134,20,TotalNPK
BELAGAVI,Belagavi,Maize,576758.0,633109,9.770302275824523,0.19697057130843698,0.803029428691563,20,TotalNPK
VIJAYAPURA,Vijayapura,Maize,226327.0,238486,5.372315278336213,0.6238899639795557,0.37611003602044435,20,TotalNPK
BAGALKOT,Bagalkote,Maize,251699.0,278469,10.635719649263605,0.6224937145204218,0.3775062854795782,20,TotalNPK
DHARAWAD,Dharwad,Maize,90634.0,98158,8.301520400732617,0.625861315342644,0.374138684657356,20,TotalNPK
GADAG,Gadag,Maize,138476.0,145000,4.711285710159161,0.6645124153310975,0.3354875846689025,20,TotalNPK
HAVERI,Haveri,Maize,413487.0,438846,6.132961858534851,0.5758370667384367,0.4241629332615633,20,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,25284,4.965127864496845,0.5929945031977588,0.40700549680224113,20,TotalNPK
BALLARI,Ballari,Maize,104045.0,113852,9.425729251766063,0.7687050091591591,0.2312949908408409,20,TotalNPK
BIDAR,Bidar,Maize,2791.0,3082,10.426370476531709,0.9771732311494524,0.022826768850547595,20,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,15449,5.663087340127214,0.8264009482718668,0.17359905172813314,20,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,3103,16.086793864571643,0.8232492276136492,0.1767507723863508,20,TotalNPK
RAICHUR,Raichur,Maize,723.0,794,9.820193637621024,0.22787788204791026,0.7721221179520897,20,TotalNPK
KOPPAL,Koppal,Maize,190252.0,203085,6.745264175935076,0.8320526056250804,0.1679473943749196,20,TotalNPK
VIJAYANAGARA,Vijayanagara,Maize,104045.0,113852,9.425729251766063,0.6984627292062695,0.30153727079373055,20,TotalNPK
BENGALURU,Bengaluru Urban,Rice,3376.0,3310,-1.9549763033175356,0.9597167401069662,0.04028325989303382,-20,TotalNPK
BENGALURU(R),Bengaluru Rural,Rice,2354.0,2332,-0.9345794392523363,0.9843755071682858,0.015624492831714238,-20,TotalNPK
RAMANAGARA,Ramanagara,Rice,12128.0,12095,-0.2720976253298153,0.8692483264620834,0.13075167353791659,-20,TotalNPK
CHITRADURGA,Chitradurga,Rice,4566.0,4542,-0.5256241787122208,0.5594146865760967,0.44058531342390334,-20,TotalNPK
DAVANAGERE,Davanagere,Rice,489505.0,486803,-0.5519861901308465,0.06515882104040749,0.9348411789595925,-20,TotalNPK
KOLAR,Kolar,Rice,864.0,850,-1.6203703703703702,0.8828696698851158,0.11713033011488412,-20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Rice,2698.0,2671,-1.000741289844329,0.8904648481695213,0.10953515183047868,-20,TotalNPK
SHIVAMOGGA,Shivamogga,Rice,384974.0,382715,-0.5867928743239803,0.628500438428824,0.3714995615711761,-20,TotalNPK
TUMAKURU,Tumakuru,Rice,26042.0,25905,-0.5260732662621918,0.8686790165445751,0.1313209834554249,-20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Rice,110533.0,108660,-1.6945165697122127,0.6880650617421247,0.3119349382578753,-20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Rice,132588.0,131453,-0.8560352369746884,0.8293725293372989,0.17062747066270112,-20,TotalNPK
UDUPI,Udupi,Rice,138156.0,137783,-0.2699846550276499,0.8279322151486568,0.17206778485134322,-20,TotalNPK
HASSAN,Hassan,Rice,143705.0,142770,-0.6506384607355347,0.52337729201494,0.47662270798506007,-20,TotalNPK
KODAGU,Kodagu,Rice,86303.0,84143,-2.5028098675596446,0.6508543760785412,0.3491456239214588,-20,TotalNPK
MANDYA,Mandya,Rice,246543.0,244194,-0.9527749723172022,0.6678833264417556,0.3321166735582444,-20,TotalNPK
MYSURU,Mysuru,Rice,354227.0,351940,-0.6456311912982353,0.5422746918024217,0.45772530819757834,-20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Rice,45856.0,45567,-0.6302337752965805,0.6421328375842283,0.3578671624157717,-20,TotalNPK
BELAGAVI,Belagavi,Rice,177552.0,175657,-1.0672929620618186,0.2611665578143608,0.7388334421856392,-20,TotalNPK
VIJAYAPURA,Vijayapura,Rice,170.0,169,-0.5882352941176471,0.6181836276803487,0.3818163723196512,-20,TotalNPK
BAGALKOT,Bagalkote,Rice,85.0,84,-1.1764705882352942,0.624593315125379,0.37540668487462103,-20,TotalNPK
DHARAWAD,Dharwad,Rice,33989.0,33680,-0.9091176557121421,0.6353523445915474,0.36464765540845256,-20,TotalNPK
GADAG,Gadag,Rice,7258.0,7220,-0.5235602094240838,0.6793031053518566,0.3206968946481435,-20,TotalNPK
HAVERI,Haveri,Rice,125422.0,124581,-0.6705362695539858,0.5782805552417449,0.4217194447582551,-20,TotalNPK
UTTARA KANNADA,Uttara Kannada,Rice,152981.0,152150,-0.5432047116962238,0.610672882197053,0.38932711780294704,-20,TotalNPK
BALLARI,Ballari,Rice,206115.5,203993,-1.0297624390208402,0.7548890657788561,0.24511093422114388,-20,TotalNPK
BIDAR,Bidar,Rice,2036.0,2012,-1.1787819253438114,0.9766595348235557,0.023340465176444274,-20,TotalNPK
KALABURAGI,Kalaburagi,Rice,7888.0,7839,-0.6211967545638946,0.8277919450691721,0.1722080549308279,-20,TotalNPK
YADGIRI,Yadgir,Rice,224659.0,220710,-1.7577751169550297,0.825891453660231,0.17410854633976902,-20,TotalNPK
RAICHUR,Raichur,Rice,492342.0,487000,-1.0850181377985222,0.23122562926230017,0.7687743707376998,-20,TotalNPK
KOPPAL,Koppal,Rice,243505.0,241711,-0.7367405186751812,0.8254204071933641,0.17457959280663596,-20,TotalNPK
VIJAYANAGARA,Vijayanagara,Rice,206115.5,203993,-1.0297624390208402,0.6852209544253679,0.3147790455746321,-20,TotalNPK
